Date,Close/Last,Volume,Open,High,Low
08/30/2021,$46.76,25774350,$46.2,$47.16,$46.16
08/27/2021,$46.6,32924520,$47.37,$47.5,$46.53
08/26/2021,$47.38,29029320,$47.7,$48.16,$47.3
08/25/2021,$47.51,51036770,$48.04,$48.28,$46.93
08/24/2021,$48.38,52624050,$49.74,$50.05,$48.24
08/23/2021,$49.93,88652380,$50.29,$51.36,$49.6
08/20/2021,$48.72,35157540,$48.98,$49.73,$48.66
08/19/2021,$48.8,57741570,$48.5,$49.96,$48.26
08/18/2021,$49.31,88597980,$50.23,$51.86,$49.17
08/17/2021,$50.42,68816990,$48.78,$50.49,$48.71
08/16/2021,$48.91,38098080,$48.23,$48.97,$47.51
08/13/2021,$48.48,35379190,$47.41,$48.5,$47.32
08/12/2021,$47.24,29710230,$46.5,$47.4,$46.34
08/11/2021,$46.31,50878190,$47.78,$48.08,$46.26
08/10/2021,$48.19,81189410,$46.2,$48.57,$45.89
08/09/2021,$45.98,32374260,$45.11,$46.03,$45.11
08/06/2021,$45.07,20413040,$45.09,$45.31,$44.63
08/05/2021,$45.06,23505420,$45,$45.14,$44.7
08/04/2021,$45.19,43391240,$45.35,$45.8,$45.01
08/03/2021,$45.68,45643260,$44.17,$45.86,$44.07
08/02/2021,$43.96,43066940,$43.3,$44.14,$43.25
07/30/2021,$42.81,24763340,$42.88,$43.185,$42.69
07/29/2021,$42.79,29015020,$43.23,$43.3,$42.6212
07/28/2021,$43.45,53822450,$42.35,$43.74,$42.25
07/27/2021,$42.1,32544070,$41.82,$42.2,$41.58
07/26/2021,$41.81,23720030,$41.62,$41.94,$41.39
07/23/2021,$41.68,21609210,$41.46,$41.83,$41.42
07/22/2021,$41.47,18913310,$41.12,$41.55,$40.9
07/21/2021,$41.02,27530230,$41.24,$41.24,$40.515
07/20/2021,$41.05,48804130,$40.25,$41.71,$40.2
07/19/2021,$40.15,29818360,$40.07,$40.35,$39.68
07/16/2021,$40.35,24270380,$40.14,$40.35,$39.93
07/15/2021,$40.09,20250800,$39.95,$40.19,$39.86
07/14/2021,$39.95,15888560,$39.72,$40.025,$39.66
07/13/2021,$39.65,12222050,$39.77,$39.8,$39.53
07/12/2021,$39.76,24512950,$39.66,$40.25,$39.6
07/09/2021,$39.61,21578730,$39.53,$40.1,$39.46
07/08/2021,$39.25,23021180,$39,$39.32,$38.93
07/07/2021,$39.35,17665150,$39.22,$39.36,$38.965
07/06/2021,$39.29,18931870,$39.48,$39.65,$39.04
07/02/2021,$39.73,16595890,$39.46,$39.83,$39.38
07/01/2021,$39.56,20035910,$39.17,$39.63,$39.11
06/30/2021,$39.16,21248070,$39.14,$39.27,$38.82
06/29/2021,$39.1,14516570,$39.13,$39.285,$38.98
06/28/2021,$39.12,19225690,$39.01,$39.2099,$38.9
06/25/2021,$38.98,22774350,$39.12,$39.405,$38.89
06/24/2021,$39.19,13436550,$39.14,$39.345,$39.08
06/23/2021,$39.05,22025360,$39.63,$39.66,$38.975
06/22/2021,$39.61,15975950,$39.41,$39.69,$39.26
06/21/2021,$39.42,19488050,$38.88,$39.48,$38.88
06/18/2021,$38.81,37775910,$39.3,$39.44,$38.7
06/17/2021,$39.48,19580120,$39.27,$39.59,$39.07
06/16/2021,$39.3,19177550,$39.62,$39.84,$39.28
06/15/2021,$39.59,20206870,$39.71,$39.84,$39.39
06/14/2021,$39.63,23408340,$40.03,$40.07,$39.38
06/11/2021,$40.15,21386920,$40.66,$40.67,$39.95
06/10/2021,$40.68,42613730,$39.9,$40.72,$39.89
06/09/2021,$39.81,29823960,$39,$39.84,$38.98
06/08/2021,$38.85,18880310,$39.07,$39.11,$38.475
06/07/2021,$38.99,24110730,$39.08,$39.6,$38.97
06/04/2021,$39.15,19375320,$39.05,$39.5,$39.015
06/03/2021,$38.97,17376290,$38.76,$39.04,$38.63
06/02/2021,$38.79,19629040,$38.64,$38.93,$38.54
